ind,key,docs,classification,class,category_map,real_cat,label,scores,real_final,pred_final
431,LocationManager_getBestProvider,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.26633143424987793,geolocation,geolocation
432,AccountManager_addAccount,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
433,NfcA_transceive,provides access to nfc a  properties and i/ o operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.31828224658966064,nfc,nfc
437,NfcF_getTimeout,provides access to nfc f  properties and i/ o operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.3207698166370392,nfc,nfc
442,AudioTrack_setLoopPoints,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5860240459442139,audio,audio
443,LocationManager_getProviders,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.26633143424987793,geolocation,geolocation
444,AudioManager_getStreamMaxVolume,audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5372056365013123,audio,audio
446,AudioTrack_getMinVolume,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
449,BluetoothHeadset_getDevicesMatchingConnectionStates,public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,source,BluetoothHeadset,bluetooth,bluetooth,bluetooth,0.430423378944397,bluetooth,bluetooth
451,GregorianCalendar_getMaximum,gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,source,GregorianCalendar,calendar information,calendar information,calendar information,0.749495804309845,calendar,calendar
455,TrafficStats_getTotalRxPackets,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5945941209793091,network,network
457,URLConnection_getDefaultAllowUserInteraction,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
459,AccountManager_getUserData,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
461,Equalizer_setProperties,an equalizer is used to alter the frequency response of a particular music source or of the main output mix,sink,Equalizer,audio,audio,audio information,0.4708689749240875,audio,audio
467,Log_i,api for sending log output,sink,Log,log,log,logging,0.4664452075958252,log,log
470,DatagramSocket_getSoTimeout,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
473,SSLContext_getProvider,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,network information,0.272289901971817,network,network
480,URLConnection_getDoInput,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
492,AudioTrack_setNotificationMarkerPosition,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5860240459442139,audio,audio
496,DatagramSocket_getLocalSocketAddress,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
499,Calendar_toString,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
513,HttpURLConnection_getErrorStream,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.433342307806015,network,network
514,Calendar_getTimeZone,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
515,AudioTrack_setPlaybackHeadPosition,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5860240459442139,audio,audio
516,Calendar_get,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
517,SQLiteProgram_bindBlob,a base class for compiled sql lite programs,sink,SQLiteProgram,no category,database,database information,0.45033639669418335,database,database
519,DropBoxManager_addFile,"enqueues chunks of data    the queue is size bounded and will drop old data if the enqueued data exceeds the maximum size   you can think of this as a persistent, system wide, blob oriented ""logcat""",sink,DropBoxManager,files,files,logging,0.49849119782447815,files,log
526,DatagramSocket_getInetAddress,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
529,AccountManager_getAccountsByType,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
531,HttpURLConnection_getPermission,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.433342307806015,network,network
533,URLConnection_getReadTimeout,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
541,WifiP2pManager_requestGroupInfo,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
542,URLConnection_getIfModifiedSince,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
544,ServerSocket_getInetAddress,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
547,AudioManager_getParameters,audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5372056365013123,audio,audio
550,MifareUltralight_getType,provides access to mifare ultralight properties and i/ o operations on a tag,source,MifareUltralight,nfc information,nfc communication,media,0.20966392755508423,nfc,media
551,URLConnection_getOutputStream,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
554,SQLiteProgram_bindDouble,a base class for compiled sql lite programs,sink,SQLiteProgram,no category,database,database information,0.45033639669418335,database,database
555,BassBoost_setStrength,bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,sink,BassBoost,audio,audio,audio information,0.7661669850349426,audio,audio
560,SSLEngine_unwrap,"a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network information,nfc communication,0.13405247032642365,network,nfc
561,NsdManager_discoverServices,"the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wifi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",sink,NsdManager,network connection,network connection,network information,0.31675270199775696,network,network
562,WifiP2pManager_addServiceRequest,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
563,AccountManager_getAuthTokenByFeatures,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
566,SQLiteCursor_getCount,a cursor implementation that exposes results from a query on a sql lite database  sql lite cursor is not internally synchronized so code using a sql lite cursor from multiple threads should perform its own synchronization when using the sql lite cursor,source,SQLiteCursor,database,database,database information,0.3935067057609558,database,database
571,Calendar_getDisplayNames,"the calendar class is an abstract class that provides methods for converting between a specific instant in time and a set of calendar fields such as y e a r, m o n t h, d a y_ o f_ m o n t h, h o u r, and so on, and for manipulating the calendar fields, such as getting the date of the next week  an instant in time can be represented by a millisecond value that is an offset from the epoch, january 1, 1970 00:00:00 000 gmt ",source,Calendar,calendar information,calendar information,calendar information,0.7576819658279419,calendar,calendar
572,URLConnection_getContent,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
575,NfcA_getTag,provides access to nfc a  properties and i/ o operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.31828224658966064,nfc,nfc
577,SSLEngine_getSSLParameters,"a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network information,nfc communication,0.13405247032642365,network,nfc
587,AccountManager_setUserData,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
591,URLConnection_getURL,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
592,ClassLoader_getResourceAsStream,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5631318092346191,system settings,files
599,ServerSocket_getChannel,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
601,DatagramSocket_getReceiveBufferSize,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
604,PresetReverb_setProperties,"a sound generated within a room travels in many directions  the listener first hears the direct sound from the source itself  later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor  as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time  reverb is vital for modeling a listener's environment  it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment  the preset reverb class allows an application to configure the global reverb using a reverb preset  this is primarily used for adding some reverb in a music playback context  applications requiring control over a more advanced environmental reverb are advised to use the environmental reverb class",sink,PresetReverb,audio,audio,audio information,0.3488469123840332,audio,audio
605,SQLiteCursor_getColumnIndex,a cursor implementation that exposes results from a query on a sql lite database  sql lite cursor is not internally synchronized so code using a sql lite cursor from multiple threads should perform its own synchronization when using the sql lite cursor,source,SQLiteCursor,database,database,database information,0.3935067057609558,database,database
608,AudioTrack_getPlayState,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
622,AudioTrack_getMaxVolume,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
625,ServerSocket_bind,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
630,DatagramSocket_setSendBufferSize,this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
631,Debug_dumpHprofData,"provides various debugging methods for android applications, including tracing and allocation counts",sink,Debug,files,files,media,0.200514554977417,files,media
634,SSLContext_getClientSessionContext,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,network information,0.272289901971817,network,network
641,GregorianCalendar_getMinimum,gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,source,GregorianCalendar,calendar information,calendar information,calendar information,0.749495804309845,calendar,calendar
645,AudioManager_setRingerMode,audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5372056365013123,audio,audio
651,URLConnection_getPermission,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
652,Calendar_getInstance,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
653,AccountManager_updateCredentials,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
655,AccountManager_invalidateAuthToken,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
658,MifareUltralight_get,provides access to mifare ultralight properties and i/ o operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.20966392755508423,nfc,media
660,MifareUltralight_readPages,provides access to mifare ultralight properties and i/ o operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.20966392755508423,nfc,media
664,NfcF_transceive,provides access to nfc f  properties and i/ o operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.3207698166370392,nfc,nfc
665,SQLiteDatabase_update,exposes methods to manage a sql lite database,sink,SQLiteDatabase,no category,database,database information,0.5022838115692139,database,database
669,NfcA_get,provides access to nfc a  properties and i/ o operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.31828224658966064,nfc,nfc
677,WifiP2pManager_setDnsSdResponseListeners,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
681,HttpURLConnection_setRequestMethod,a url connection with support for http specific features  see  the spec  for details,sink,HttpURLConnection,no category,network connection,network information,0.433342307806015,network,network
682,WifiP2pManager_removeLocalService,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
686,MediaPlayer_setDataSource,media player class can be used to control playback of audio/video files and streams,sink,MediaPlayer,files,media,media,0.32381635904312134,media,media
687,URL_openConnection,"class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",sink,URL,network connection,network connection,file information,0.5423198342323303,network,files
688,NfcA_getTimeout,provides access to nfc a  properties and i/ o operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.31828224658966064,nfc,nfc
692,SSLContext_getDefaultSSLParameters,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,network information,0.272289901971817,network,network
696,Debug_dumpService,"provides various debugging methods for android applications, including tracing and allocation counts",sink,Debug,files,files,media,0.200514554977417,files,media
697,AudioTrack_getNativeOutputSampleRate,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
699,Calendar_getTimeInMillis,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
700,AccessibilityManager_sendAccessibilityEvent,"system level service that serves as an event dispatch for accessibility events, and provides facilities for querying the accessibility state of the system  accessibility events are generated when something notable happens in the user interface, for example an activity starts, the focus or selection of a view changes etc  parties interested in handling accessibility events implement and register an accessibility service which extends accessibility service",sink,AccessibilityManager,log,system settings,system settings,0.19857704639434814,system settings,system settings
707,ServerSocket_getReceiveBufferSize,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
710,RandomAccessFile_write,"instances of this class support both reading and writing to a random access file  a random access file behaves like a large array of bytes stored in the file system  there is a kind of cursor, or index into the implied array, called the file pointer; input operations read bytes starting at the file pointer and advance the file pointer past the bytes read  if the random access file is created in read/write mode, then output operations are also available; output operations write bytes starting at the file pointer and advance the file pointer past the bytes written  output operations that write past the current end of the implied array cause the array to be extended  the file pointer can be read by the get file pointer method and set by the seek method",sink,RandomAccessFile,files,files,media,0.13724027574062347,files,media
713,GregorianCalendar_getLeastMaximum,gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,source,GregorianCalendar,calendar information,calendar information,calendar information,0.749495804309845,calendar,calendar
720,ServerSocket_getReuseAddress,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
722,Calendar_set,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,Calendar,no category,calendar,calendar information,0.5930222272872925,calendar,calendar
724,DatagramSocket_send,this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
729,ServerSocket_getSoTimeout,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
730,LocationManager_setTestProviderEnabled,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation,geolocation,geographical location,0.26633143424987793,geolocation,geolocation
732,SmsManager_sendDataMessage,"manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",sink,SmsManager,text message,text message,text message,0.19001959264278412,text message,text message
734,IsoDep_get,provides access to iso dep  properties and i/ o operations on a tag,source,IsoDep,nfc information,nfc information,media,0.11158380657434464,nfc,media
740,URLConnection_getInputStream,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
741,WallpaperManager_setBitmap,"provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",sink,WallpaperManager,log,media,media,0.2319435179233551,media,media
743,Calendar_getFirstDayOfWeek,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
744,CalendarView_setMinDate,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,sink,CalendarView,no category,calendar information,calendar information,0.9322941303253174,calendar,calendar
745,MifareUltralight_setTimeout,provides access to mifare ultralight properties and i/ o operations on a tag,sink,MifareUltralight,nfc communication,nfc communication,media,0.20966392755508423,nfc,media
747,SQLiteCursor_getDatabase,a cursor implementation that exposes results from a query on a sql lite database  sql lite cursor is not internally synchronized so code using a sql lite cursor from multiple threads should perform its own synchronization when using the sql lite cursor,source,SQLiteCursor,database,database,database information,0.3935067057609558,database,database
748,DatagramSocket_setSoTimeout,this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
749,Log_e,api for sending log output,sink,Log,log,log,logging,0.4664452075958252,log,log
750,FileOutputStream_write,"a file output stream is an output stream for writing data to a file or to a file descriptor  whether or not a file is available or may be created depends upon the underlying platform   some platforms, in particular, allow a file to be opened for writing by only one file output stream  at a time   in such situations the constructors in this class will fail if the file involved is already open",sink,FileOutputStream,files,files,file information,0.4376181662082672,files,files
751,TrafficStats_getTotalTxBytes,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5945941209793091,network,network
753,AudioTrack_getSampleRate,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
754,TrafficStats_setThreadStatsTag,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",sink,TrafficStats,network connection,network connection,network information,0.5945941209793091,network,network
755,CalendarView_getDate,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.9322941303253174,calendar,calendar
756,WifiP2pManager_setServiceResponseListener,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
757,AudioTrack_getStreamType,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
758,MifareUltralight_getTag,provides access to mifare ultralight properties and i/ o operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.20966392755508423,nfc,media
760,ClassLoader_getSystemResources,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,network connection,file information,0.5631318092346191,network,files
768,SSLParameters_getWantClientAuth,"encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",source,SSLParameters,network information,network connection,network information,0.3124198019504547,network,network
770,AudioTrack_getChannelCount,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
771,NfcF_setTimeout,provides access to nfc f  properties and i/ o operations on a tag,sink,NfcF,nfc communication,nfc communication,nfc information,0.3207698166370392,nfc,nfc
779,NfcF_getTag,provides access to nfc f  properties and i/ o operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.3207698166370392,nfc,nfc
781,WifiP2pManager_removeServiceRequest,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
785,IsoDep_getMaxTransceiveLength,provides access to iso dep  properties and i/ o operations on a tag,source,IsoDep,nfc information,nfc information,media,0.11158380657434464,nfc,media
790,SSLContext_getSupportedSSLParameters,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,network information,0.272289901971817,network,network
796,MifareUltralight_transceive,provides access to mifare ultralight properties and i/ o operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.20966392755508423,nfc,media
799,URLConnection_getContentLength,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
800,NfcA_getAtqa,provides access to nfc a  properties and i/ o operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.31828224658966064,nfc,nfc
802,LocationManager_sendExtraCommand,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation,geolocation,geographical location,0.26633143424987793,geolocation,geolocation
811,AudioManager_getProperty,audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5372056365013123,audio,audio
812,Debug_startMethodTracing,"provides various debugging methods for android applications, including tracing and allocation counts",sink,Debug,files,log,media,0.200514554977417,log,media
821,Virtualizer_setProperties,"an audio virtualizer is a general name for an effect to spatialize audio channels  the exact behavior of this effect is dependent on the number of audio input channels and the types and number of audio output channels of the device  for example, in the case of a stereo input and stereo headphone output, a stereo widening effect is used when this effect is turned on",sink,Virtualizer,audio,audio,audio information,0.28652897477149963,audio,audio
829,URLConnection_getLastModified,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
836,AccountManager_editProperties,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
847,SQLiteDatabase_queryWithFactory,exposes methods to manage a sql lite database,source,SQLiteDatabase,database,database,database information,0.5022838115692139,database,database
854,IsoDep_getTimeout,provides access to iso dep  properties and i/ o operations on a tag,source,IsoDep,nfc information,nfc information,media,0.11158380657434464,nfc,media
862,AccountManager_hasFeatures,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
863,BluetoothHeadset_getConnectedDevices,public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,source,BluetoothHeadset,bluetooth,bluetooth,bluetooth,0.430423378944397,bluetooth,bluetooth
864,NotificationManager_notify,class to notify the user of events that happen   this is how you tell the user that something has happened in the background,sink,NotificationManager,log,notification,notification,0.5329134464263916,notification,notification
871,DatagramSocket_getChannel,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
