key,class_name,class_description
SecretKeyFactory_getProvider,secret key factory,this class represents a factory for secret keys.
BaseKeyListener_backspace,base key listener,
BluetoothGatt_disconnect,bluetooth gatt,public api for the bluetooth gatt profile.
Inet4Address_isSiteLocalAddress,inet4 address,"this class represents an internet protocol version 4 (ipv4) address. defined by rfc 790: assigned numbers, rfc 1918: address allocation for private internets, and rfc 2365: administratively scoped ip multicast"
JsonWriter_value,json writer,"writes a json (rfc 4627) encoded value to a stream, one token at a time. the stream includes both literal values (strings, numbers, booleans and nulls) as well as the begin and end delimiters of objects and arrays."
AccountAuthenticatorActivity_finish,account authenticator activity,
MulticastSocket_setTimeToLive,multicast socket,"the multicast datagram socket class is useful for sending and receiving ip multicast packets.  a multicastsocket is a (udp) datagramsocket, with additional capabilities for joining ""groups"" of other multicast hosts on the internet."
ClipboardManager_hasText,clipboard manager,
NfcBarcode_close,nfc barcode,provides access to tags containing just a barcode.
Picture_beginRecording,picture,"a picture records drawing calls (via the canvas returned by beginrecording) and can then play them back into canvas (via picture#draw(canvas) or canvas#drawpicture(picture)).for most content (e.g. text, lines, rectangles), drawing a sequence from a picture can be faster than the equivalent api calls, since the picture performs its playback without incurring any method call overhead."
WebStorage_getInstance,web storage,this class is used to manage the javascript storage apis provided by the webview. it manages the web sql database api and the html5 web storage api. the web sql database api provides storage which is private to a given origin. use of the web sql database can be attributed to an origin. it is also possible to set per origin quotas.
CharacterIterator_clone,character iterator,this interface defines a protocol for bidirectional iteration over text. the iterator iterates over a bounded sequence of characters.  characters are indexed with values beginning with the value returned by getbeginindex() and continuing through the value returned by getendindex() 1.
SSLServerSocket_getWantClientAuth,ssl server socket,this class extends serversockets and provides secure server sockets using protocols such as the secure sockets layer (ssl) or transport layer security (tls) protocols.
FileChannel_force,file channel,"a channel for reading, writing, mapping, and manipulating a file."
PrintJob_getTag,print job,this class represents a print job from the perspective of a print service. it provides apis for observing the print job state and performing operations on the print job.
StringBufferInputStream_available,string buffer input stream,
CommonDataSource_setLogWriter,common data source,a factory for connections to the physical data source that this datasource object represents.
SAXException_getMessage,s a x exception,encapsulate a general sax error or warning.
RectEvaluator_evaluate,rect evaluator,this evaluator can be used to perform type interpolation between rect values.
Provider_clear,provider,"this class represents a ""provider"" for the java security api, where a provider implements some or all parts of java security. services that a provider may implement include:"
EncryptedPrivateKeyInfo_getEncoded,encrypted private key info,this class implements the encryptedprivatekeyinfo type as defined in pkcs #8.
ECPublicKeySpec_getParams,e c public key spec,this immutable class specifies an elliptic curve public key with its associated parameters.
Console_format,console,"methods to access the character based console device, if any, associated with the current java virtual machine."
Time_before,time,
Attributes_put,attributes,"the attributes class maps manifest attribute names to associated string values. valid attribute names are case insensitive, are restricted to the ascii characters in the set [0 9a za z_ ], and cannot exceed 70 characters in length. attribute values can contain any characters and will be utf8 encoded when written to the output stream.  see the jar file specification for more information about valid attribute names and values."
DocumentsProvider_queryRoots,documents provider,"base class for a document provider. a document provider offers read and write access to durable files, such as files stored on a local disk, or files in a cloud storage service. to create a document provider, extend this class, implement the abstract methods, and add it to your manifest like this:"
RadioGroup_clearCheck,radio group,
GLUtils_getType,g l utils,utility class to help bridging opengl es and android apis.
HandlerBase_endElement,handler base,
MatchResult_group,match result,the result of a match operation.
Wrapper_unwrap,wrapper,a connection (session) with a specific database.
NumericShaper_toString,numeric shaper,"the numericshaper class is used to convert latin 1 (european) digits to other unicode decimal digits.  users of this class will primarily be people who wish to present data using national digit shapes, but find it more convenient to represent the data internally using latin 1 (european) digits.  this does not interpret the deprecated numeric shape selector character (u+206e)."
SharedPreferences_unregisterOnSharedPreferenceChangeListener,shared preferences,"interface for accessing and modifying preference data returned by context.getsharedpreferences(string, int).  for any particular set of preferences, there is a single instance of this class that all clients share. modifications to the preferences must go through an editor object to ensure the preference values remain in a consistent state and control when they are committed to storage.  objects that are returned from the various get methods must be treated as immutable by the application."
FrameLayout_shouldDelayChildPressedState,frame layout,the view which allows an activity to customize its splash screen exit animation.
JSONArray_toJSONObject,json array,"a dense indexed sequence of values. values may be any mix of jsonobjects, other jsonarrays, strings, booleans, integers, longs, doubles, null or jsonobject#null. values may not be nans, infinities, or of any type not listed here."
PasswordCallback_clearPassword,password callback,
Clob_setAsciiStream,clob,"the mapping in the javatm programming language for the sql clob type. an sql clob is a built in type that stores a character large object as a column value in a row of a database table. by default drivers implement a clob object using an sql locator(clob), which means that a clob object contains a logical pointer to the sql clob data rather than the data itself. a clob object is valid for the duration of the transaction in which it was created."
ObjectInputStream_readChar,object input stream,an objectinputstream deserializes primitive data and objects previously written using an objectoutputstream.
PrintWriter_checkError,print writer,"prints formatted representations of objects to a text output stream.  this class implements all of the print methods found in printstream.  it does not contain methods for writing raw bytes, for which a program should use unencoded byte streams."
NodeChangeListener_childAdded,node change listener,a listener for receiving preference node change events.
ViewOverlay_clear,view overlay,"an overlay is an extra layer that sits on top of a view (the ""host view"") which is drawn after all other content in that view (including children, if the view is a viewgroup). interaction with the overlay layer is done by adding and removing drawables."
MediaRouteActionProvider_overridesItemVisibility,media route action provider,the media route action provider displays a media route button in the application's actionbar to allow the user to select routes and to control the currently selected route.
PrintStream_checkError,print stream,"a printstream adds functionality to another output stream, namely the ability to print representations of various data values conveniently.  two other features are provided as well.  unlike other output streams, a printstream never throws an ioexception; instead, exceptional situations merely set an internal flag that can be tested via the checkerror method. optionally, a printstream can be created so as to flush automatically; this means that the flush method is automatically invoked after a byte array is written, one of the println methods is invoked, or a newline character or byte ('\n') is written."
Log_w,log,api for sending log output.
Objects_deepEquals,objects,"this class consists of static utility methods for operating on objects, or checking certain conditions before operation.  these utilities include null safe or null tolerant methods for computing the hash code of an object, returning a string for an object, comparing two objects, and checking if indexes or sub range values are out of bounds."
SipRegistrationListener_onRegistering,sip registration listener,
Arrays_equals,arrays,this class contains various methods for manipulating arrays (such as sorting and searching). this class also contains a static factory that allows arrays to be viewed as lists.
Result_getSystemId,result,acts as a holder for a transformation result tree in the form of a document object model (dom) tree.
Identity_setInfo,identity,
MalformedInputException_getInputLength,malformed input exception,"checked exception thrown when an input byte sequence is not legal for given charset, or an input character sequence is not a legal sixteen bit unicode sequence."
Reader_markSupported,reader,"abstract class for reading character streams.  the only methods that a subclass must implement are read(char[], int, int) and close().  most subclasses, however, will override some of the methods defined here in order to provide higher efficiency, additional functionality, or both."
TypedArray_getText,typed array,"container for an array of values that were retrieved with resources.theme#obtainstyledattributes(attributeset, int[], int, int) or resources#obtainattributes.  be sure to call recycle() when done with them. the indices used to retrieve values from this structure correspond to the positions of the attributes given to obtainstyledattributes."
DrmInfo_getInfoType,drm info,
MediaSyncEvent_getType,media sync event,the mediasyncevent class defines events that can be used to synchronize playback or capture actions between different players and recorders.
Date_setTime,date,
ChangeBounds_setResizeClip,change bounds,this transition captures the layout bounds of target views before and after the scene change and animates those changes during the transition.
MoreAsserts_assertNotMatchesRegex,more asserts,
Duration_getField,duration,
VelocityTracker_clear,velocity tracker,"helper for tracking the velocity of touch events, for implementing flinging and other such gestures. use obtain() to retrieve a new instance of the class when you are going to begin tracking.  put the motion events you receive into it with addmovement(android.view.motionevent).  when you want to determine the velocity call computecurrentvelocity(int) and then call getxvelocity(int) and getyvelocity(int) to retrieve the velocity for each pointer id."
IllegalFormatCodePointException_getMessage,illegal format code point exception,unchecked exception thrown when a character with an invalid unicode code point as defined by character#isvalidcodepoint is passed to the formatter.
Xml_parse,xml,xml utility methods.
AbstractWindowedCursor_getDouble,abstract windowed cursor,a base class for cursors that store their data in cursorwindows.
AttributesImpl_setLocalName,attributes impl,default implementation of the attributes interface.
Authenticator_requestPasswordAuthentication,authenticator,"the class authenticator represents an object that knows how to obtain authentication for a network connection.  usually, it will do this by prompting the user for information."
CalendarView_getMinDate,calendar view,this class is a calendar widget for displaying and selecting dates. the range of dates supported by this calendar is configurable.
ImageReader_getImageFormat,image reader,
ValidatorHandler_getFeature,validator handler,streaming validator that works on sax stream.
AnimatorSet_cancel,animator set,"this class plays a set of animator objects in the specified order. animations can be set up to play together, in sequence, or after a specified delay."
ScriptIntrinsicLUT_setAlpha,script intrinsic l u t,
ByteArrayOutputStream_close,byte array output stream,this class implements an output stream in which the data is written into a byte array. the buffer automatically grows as data is written to it. the data can be retrieved using tobytearray() and tostring().
DebugUtils_isObjectSelected,debug utils,
SipSession_isInCall,sip session,
Rfc822Tokenizer_tokenize,rfc822 tokenizer,"this class works as a tokenizer for multiautocompletetextview for address list fields, and also provides a method for converting a string of addresses (such as might be typed into such a field) into a series of rfc822tokens."
ReentrantReadWriteLock_writeLock,reentrant read write lock,an implementation of readwritelock supporting similar semantics to reentrantlock.
DatagramPacket_getData,datagram packet,this class represents a datagram packet.
SSLParameters_getCipherSuites,ssl parameters,"encapsulates parameters for an ssl/tls connection. the parameters are the list of ciphersuites to be accepted in an ssl/tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/tls handshaking, the server name indication (sni), the algorithm constraints and whether ssl/tls servers should request or require client authentication, etc."
PolicyNode_getValidPolicy,policy node,an immutable valid policy tree node as defined by the pkix certification path validation algorithm.
TextureView_setLayerType,texture view,
StrictMath_floor,strict math,"the class strictmath contains methods for performing basic numeric operations such as the elementary exponential, logarithm, square root, and trigonometric functions."
SQLWarning_getNextWarning,sql warning,
BluetoothHeadset_stopVoiceRecognition,bluetooth headset,public api for controlling the bluetooth headset service. this includes both bluetooth headset and handsfree (v1.5) profiles.
DynamicDrawableSpan_getVerticalAlignment,dynamic drawable span,span that replaces the text it's attached to with a drawable that can be aligned with the bottom or with the baseline of the surrounding text.
X509ExtendedKeyManager_chooseEngineClientAlias,x509 extended key manager,abstract class that provides for extension of the x509keymanager interface.
Debug_getLoadedClassCount,debug,"provides various debugging methods for android applications, including tracing and allocation counts."
LineBackgroundSpan_drawBackground,line background span,used to change the background of lines where the span is attached to.
ReentrantLock_lockInterruptibly,reentrant lock,"a reentrant mutual exclusion lock with the same basic behavior and semantics as the implicit monitor lock accessed using synchronized methods and statements, but with extended capabilities."
PBEParameterSpec_getSalt,p b e parameter spec,"this class specifies the set of parameters used with password based encryption (pbe), as defined in the pkcs #5 standard."
DOMImplementation_createDocument,dom implementation,the domimplementation interface provides a number of methods for performing operations that are independent of any particular instance of the document object model.
SipAudioCall_holdCall,sip audio call,
PKIXCertPathValidatorResult_getPublicKey,p k i x cert path validator result,this class represents the successful result of the pkix certification path validation algorithm.
SealedObject_getObject,sealed object,this class enables a programmer to create an object and protect its confidentiality with a cryptographic algorithm.
NamespaceContext_getNamespaceURI,namespace context,
LineNumberReader_mark,line number reader,a buffered character input stream that keeps track of line numbers.  this class defines methods setlinenumber(int) and getlinenumber() for setting and getting the current line number respectively.
KeyListener_clearMetaKeyState,key listener,
DigestOutputStream_getMessageDigest,digest output stream,a transparent stream that updates the associated message digest using the bits going through the stream.
Runtime_availableProcessors,runtime,every java application has a single instance of class runtime that allows the application to interface with the environment in which the application is running. the current runtime can be obtained from the getruntime method.
StreamTokenizer_slashStarComments,stream tokenizer,"the streamtokenizer class takes an input stream and parses it into ""tokens"", allowing the tokens to be read one at a time. the parsing process is controlled by a table and a number of flags that can be set to various states. the stream tokenizer can recognize identifiers, numbers, quoted strings, and various comment styles."
BluetoothAdapter_checkBluetoothAddress,bluetooth adapter,"represents the local device bluetooth adapter. the bluetoothadapter lets you perform fundamental bluetooth tasks, such as initiate device discovery, query a list of bonded (paired) devices, instantiate a bluetoothdevice using a known mac address, and create a bluetoothserversocket to listen for connection requests from other devices, and start a scan for bluetooth le devices."
X509CRL_getEncoded,x509 crl,
URI_getUserInfo,uri,represents a uniform resource identifier (uri) reference.
AccessibilityNodeProvider_findAccessibilityNodeInfosByText,accessibility node provider,this class is the contract a client should implement to enable support of a virtual view hierarchy rooted at a given view for accessibility purposes. a virtual view hierarchy is a tree of imaginary views that is reported as a part of the view hierarchy when an accessibilityservice explores the window content. since the virtual view tree does not exist this class is responsible for managing the accessibilitynodeinfos describing that tree to accessibility services.
ResourceBundle_getString,resource bundle,"resource bundles contain locale specific objects.  when your program needs a locale specific resource, a string for example, your program can load it from the resource bundle that is appropriate for the current user's locale. in this way, you can write program code that is largely independent of the user's locale isolating most, if not all, of the locale specific information in resource bundles."
MediaScannerConnection_onServiceDisconnected,media scanner connection,mediascannerconnection provides a way for applications to pass a newly created or downloaded media file to the media scanner service. the media scanner service will read metadata from the file and add the file to the media content provider. the mediascannerconnectionclient provides an interface for the media scanner service to return the uri for a newly scanned file to the client of the mediascannerconnection class.
Currency_getCurrencyCode,currency,"a class encapsulating a currency, as defined by iso 4217.  a currency object can be created given a locale or given an iso 4217 code.  once created, the currency object can return various data necessary to its proper display:"
UserManager_getUserName,user manager,"manages users and user details on a multi user system. there are two major categories of users: fully customizable users with their own login, and profiles that share a workspace with a related user."
RotateAnimation_initialize,rotate animation,"an animation that controls the rotation of an object. this rotation takes place in the x y plane. you can specify the point to use for the center of the rotation, where (0,0) is the top left point. if not specified, (0,0) is the default rotation point."
SQLiteQueryBuilder_buildUnionSubQuery,sqlite query builder,this is a convenience class that helps build sql queries to be sent to sqlitedatabase objects.
WifiP2pManager_removeGroup,wifi p2p manager,"this class provides the api for managing wi fi peer to peer connectivity. this lets an application discover available peers, setup connection to peers and query for the list of peers. when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device."
PropertyValuesHolder_ofKeyframe,property values holder,this class holds information about a property and the values that that property should take on during an animation. propertyvaluesholder objects can be used to create animations with valueanimator or objectanimator that operate on several different properties in parallel.
DataOutputStream_flush,data output stream,a data output stream lets an application write primitive java data types to an output stream in a portable way. an application can then use a data input stream to read the data back in.
CollationElementIterator_tertiaryOrder,collation element iterator,collationelementiterator is an iterator created by a rulebasedcollator to walk through a string. the return result of each iteration is a 32 bit collation element (ce) that defines the ordering priority of the next character or sequence of characters in the source string.
RSAMultiPrimePrivateCrtKeySpec_getPrimeP,rsa multi prime private crt key spec,"this class specifies an rsa multi prime private key, as defined in the pkcs#1 v2.1, using the chinese remainder theorem (crt) information values for efficiency."
BluetoothProfile_getConnectionState,bluetooth profile,public apis for the bluetooth profiles.
DataInput_readUnsignedShort,data input,the datainput interface provides for reading bytes from a binary stream and reconstructing from them data in any of the java primitive types. there is also a facility for reconstructing a string from data in modified utf 8 format.
Spannable_removeSpan,spannable,this is the interface for text to which markup objects can be attached and detached.  not all spannable classes have mutable text; see editable for that.
CollationKey_toByteArray,collation key,a collationkey represents a string under the rules of a specific collator object. comparing two collationkeys returns the relative order of the strings they represent.
Attributes2Impl_setAttributes,attributes2 impl,"sax2 extension helper for additional attributes information, implementing the attributes2 interface."
BluetoothGattCallback_onReadRemoteRssi,bluetooth gatt callback,this abstract class is used to implement bluetoothgatt callbacks.
AccessibilityService_performGlobalAction,accessibility service,"accessibility services should only be used to assist users with disabilities in using android devices and apps. they run in the background and receive callbacks by the system when accessibilityevents are fired. such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc. such a service can optionally request the capability for querying the content of the active window. development of an accessibility service requires extending this class and implementing its abstract methods."
SQLXML_setCharacterStream,sql xml,the mapping in the javatm programming language for the sql xml type. xml is a built in type that stores an xml value as a column value in a row of a database table. by default drivers implement an sqlxml object as a logical pointer to the xml data rather than the data itself. an sqlxml object is valid for the duration of the transaction in which it was created.
InputSource_setCharacterStream,input source,a single input source for an xml entity.
ScriptIntrinsicColorMatrix_getKernelID,script intrinsic color matrix,
ZoomButtonsController_setAutoDismissed,zoom buttons controller,
LocationManager_removeUpdates,location manager,"this class provides access to the system location services. these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location."
ClassNotFoundException_getCause,class not found exception,thrown when an application tries to load in a class through its string name using:
ScriptIntrinsicBlur_setInput,script intrinsic blur,
AudioStream_setCodec,audio stream,
InputManager_getInputDevice,input manager,provides information about input devices and available key layouts.
Environment_getDataDirectory,environment,provides access to environment variables.
SQLiteStatement_simpleQueryForLong,sqlite statement,"represents a statement that can be executed against a database.  the statement cannot return multiple rows or columns, but single value (1 x 1) result sets are supported."
MediaCodec_setParameters,media codec,"mediacodec class can be used to access low level media codecs, i.e. encoder/decoder components. it is part of the android low level multimedia support infrastructure (normally used together with mediaextractor, mediasync, mediamuxer, mediacrypto, mediadrm, image, surface, and audiotrack.)"
ScriptIntrinsicHistogram_forEach,script intrinsic histogram,
AudioGroup_getMode,audio group,
Executors_privilegedCallable,executors,"factory and utility methods for executor, executorservice, scheduledexecutorservice, threadfactory, and callable classes defined in this package. this class supports the following kinds of methods:"
SQLData_readSQL,sql data,the interface used for the custom mapping of an sql user defined type (udt) to a class in the java programming language. the class object for a class implementing the sqldata interface will be entered in the appropriate connection object's type map along with the sql name of the udt for which it is a custom mapping.
RSAOtherPrimeInfo_getPrime,rsa other prime info,"this class represents the triplet (prime, exponent, and coefficient) inside rsa's otherprimeinfo structure, as defined in the pkcs#1 v2.1. the asn.1 syntax of rsa's otherprimeinfo is as follows:"
Deflater_finish,deflater,this class provides support for general purpose compression using the popular zlib compression library. the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents. it is fully described in the specifications at the java.util.zip package description.
SQLiteQuery_toString,sqlite query,represents a query that reads the resulting rows into a sqlitequery. this class is used by sqlitecursor and isn't useful itself.
XMLReaderAdapter_startElement,xml reader adapter,adapt a sax2 xmlreader as a sax1 parser.
StackView_showPrevious,stack view,whether or not the auto handwriting initiation is enabled in this view.
InputMethodSession_dispatchKeyEvent,input method session,the inputmethodsession interface provides the per client functionality of inputmethod that is safe to expose to applications.
Pipe_source,pipe,a pair of channels that implements a unidirectional pipe.
RoundRectShape_draw,round rect shape,"creates a rounded corner rectangle. optionally, an inset (rounded) rectangle can be included (to make a sort of ""o"" shape)."
LayoutTransition_removeTransitionListener,layout transition,"this class enables automatic animations on layout changes in viewgroup objects. to enable transitions for a layout container, create a layouttransition object and set it on any viewgroup by calling viewgroup#setlayouttransition(layouttransition). this will cause default animations to run whenever items are added to or removed from that container. to specify custom animations, use the setanimator() method."
LSParser_parseWithContext,l s parser,"an interface to an object that is able to build, or augment, a dom tree from various input sources."
Service_onTaskRemoved,service,hostapduservice is a convenience service class that can be extended to emulate an nfc card inside an android service component.
PushbackInputStream_close,pushback input stream,"a pushbackinputstream adds functionality to another input stream, namely the  ability to ""push back"" or ""unread"" bytes, by storing pushed back bytes in an internal buffer. this is useful in situations where it is convenient for a fragment of code to read an indefinite number of data bytes that  are delimited by a particular byte value; after reading the terminating byte, the  code fragment can ""unread"" it, so that the next read operation on the input stream will reread the byte that was pushed back. for example, bytes representing the  characters constituting an identifier might be terminated by a byte representing an  operator character; a method whose job is to read just an identifier can read until it  sees the operator and then push the operator back to be re read."
KeyStoreSpi_engineLoad,key store spi,this class defines the service provider interface (spi) for the keystore class. all the abstract methods in this class must be implemented by each cryptographic service provider who wishes to supply the implementation of a keystore for a particular keystore type.
AppOpsManager_startWatchingMode,app ops manager,app ops are used for two purposes: access control and tracking.
PrinterDiscoverySession_onValidatePrinters,printer discovery session,"this class encapsulates the interaction between a print service and the system during printer discovery. during printer discovery you are responsible for adding discovered printers, removing previously added printers that disappeared, and updating already added printers."
LongBuffer_compareTo,long buffer,a long buffer.
MifareUltralight_connect,mifare ultralight,provides access to mifare ultralight properties and i/o operations on a tag.
StrictMode_allowThreadDiskWrites,strict mode,strictmode is a developer tool which detects things you might be doing by accident and brings them to your attention so you can fix them.
ParameterizedType_getRawType,parameterized type,parameterizedtype represents a parameterized type such as collection<string>.
DataInputStream_readUnsignedByte,data input stream,a data input stream lets an application read primitive java data types from an underlying input stream in a machine independent way. an application uses a data output stream to write data that can later be read by a data input stream.
Manifest_clone,manifest,"the manifest class is used to maintain manifest entry names and their associated attributes. there are main manifest attributes as well as per entry attributes. for information on the manifest format, please see the  manifest format specification."
BufferedOutputStream_write,buffered output stream,"the class implements a buffered output stream. by setting up such an output stream, an application can write bytes to the underlying output stream without necessarily causing a call to the underlying system for each byte written."
XMLFormatter_getTail,xml formatter,format a logrecord into a standard xml format.
VirtualDisplay_toString,virtual display,represents a virtual display. the content of a virtual display is rendered to a surface that you must provide to createvirtualdisplay().
DrmSupportInfo_equals,drm support info,
SecretKeySpec_getAlgorithm,secret key spec,this class specifies a secret key in a provider independent fashion.
EditText_setSelection,edit text,an editable text view that shows completion suggestions automatically while the user is typing.
PipedWriter_write,piped writer,piped character output streams.
AtomicIntegerArray_getAndDecrement,atomic integer array,an int array in which elements may be updated atomically. see the varhandle specification for descriptions of the properties of atomic accesses.
SmsManager_divideMessage,sms manager,"manages sms operations such as sending data, text, and pdu sms messages. get this object by calling the static method getdefault(). to create an instance of smsmanager associated with a specific subscription id, call getsmsmanagerforsubscriptionid(int). this is typically used for devices that support multiple active subscriptions at once."
SQLOutput_writeStruct,sql output,"the output stream for writing the attributes of a user defined type back to the database.  this interface, used only for custom mapping, is used by the driver, and its methods are never directly invoked by a programmer."
TimerTask_scheduledExecutionTime,timer task,a task that can be scheduled for one time or repeated execution by a timer.
RC2ParameterSpec_getEffectiveKeyBits,r c2 parameter spec,this class specifies the parameters used with the rc2 algorithm.
Selector_wakeup,selector,a multiplexor of selectablechannel objects.
CRC32_getValue,c r c32,a class that can be used to compute the crc 32 of a data stream.
UriMatcher_match,uri matcher,utility class to aid in matching uris in content providers.
IllegalFormatFlagsException_getMessage,illegal format flags exception,unchecked exception thrown when an illegal combination flags is given.
JsonReader_peek,json reader,"reads a json (rfc 4627) encoded value as a stream of tokens. this stream includes both literal values (strings, numbers, booleans, and nulls) as well as the begin and end delimiters of objects and arrays. the tokens are traversed in depth first order, the same order that they appear in the json document. within json objects, name/value pairs are represented by a single token."
AttributeSet_getAttributeIntValue,attribute set,"a collection of attributes, as found associated with a tag in an xml document.  often you will not want to use this interface directly, instead passing it to resources.theme.obtainstyledattributes() which will take care of parsing the attributes for you.  in particular, the resources api will convert resource references (attribute values such as ""@string/my_label"" in the original xml) to the desired type for you; if you use attributeset directly then you will need to manually check for resource references (with getattributeresourcevalue(int, int)) and do the resource lookup yourself if needed.  direct use of attributeset also prevents the application of themes and styles when retrieving attribute values."
CertPathValidatorException_getCertPath,cert path validator exception,an exception indicating one of a variety of problems encountered when validating a certification path.
PropertyChangeEvent_getPropertyName,property change event,"a ""propertychange"" event gets delivered whenever a bean changes a ""bound"" or ""constrained"" property.  a propertychangeevent object is sent as an argument to the propertychangelistener and vetoablechangelistener methods."
Key_getEncoded,key,a public key.
Element_getElementsByTagNameNS,element,"the element interface represents an element in an html or xml document. elements may have attributes associated with them; since the element interface inherits from node, the generic node interface attribute attributes may be used to retrieve the set of all attributes for an element. there are methods on the element interface to retrieve either an attr object by name or an attribute value by name. in xml, where an attribute value may contain entity references, an attr object should be retrieved to examine the possibly fairly complex sub tree representing the attribute value. on the other hand, in html, where all attributes have simple string values, methods to directly access an attribute value can safely be used as a convenience."
Number_byteValue,number,the half class is a wrapper and a utility class to manipulate half precision 16 bit ieee 754 floating point data types (also called fp16 or binary16).
ViewStub_getLayoutInflater,view stub,"a viewstub is an invisible, zero sized view that can be used to lazily inflate layout resources at runtime. when a viewstub is made visible, or when inflate()  is invoked, the layout resource is inflated. the viewstub then replaces itself in its parent with the inflated view or views. therefore, the viewstub exists in the view hierarchy until setvisibility(int) or inflate() is invoked. the inflated view is added to the viewstub's parent with the viewstub's layout parameters. similarly, you can define/override the inflate view's id by using the viewstub's inflatedid property. for instance:"
TestCase_setName,test case,a test case defines the fixture to run multiple tests. to define a test case
AtomicLong_getAndAdd,atomic long,"a long value that may be updated atomically.  see the varhandle specification for descriptions of the properties of atomic accesses. an atomiclong is used in applications such as atomically incremented sequence numbers, and cannot be used as a replacement for a long. however, this class does extend number to allow uniform access by tools and utilities that deal with numerically based classes."
RSAPrivateCrtKey_getPrimeQ,rsa private crt key,"the interface to an rsa private key, as defined in the pkcs#1 v2.2 standard, using the chinese remainder theorem (crt) information values."
SpeechRecognizer_setRecognitionListener,speech recognizer,"this class provides access to the speech recognition service. this service allows access to the speech recognizer. do not instantiate this class directly, instead, call speechrecognizer#createspeechrecognizer(context), or speechrecognizer#createondevicespeechrecognizer(context). this class's methods must be invoked only from the main application thread."
NameList_getName,name list,"the namelist interface provides the abstraction of an ordered collection of parallel pairs of name and namespace values (which could be null values), without defining or constraining how this collection is implemented. the items in the namelist are accessible via an integral index, starting from 0."
MappedByteBuffer_force,mapped byte buffer,a direct byte buffer whose content is a memory mapped region of a file.
KeyManagerFactory_getKeyManagers,key manager factory,this class acts as a factory for key managers based on a source of key material. each key manager manages a specific type of key material for use by secure sockets. the key material is based on a keystore and/or provider specific sources.
DefaultHandler_fatalError,default handler,default base class for sax2 event handlers.
Visibility_visibilityTest,visibility,a collection of utility methods for computing the visibility of triangle meshes.
MimeTypeMap_hasExtension,mime type map,two way map that maps mime types to file extensions and vice versa.
NfcA_setTimeout,nfc a,provides access to nfc a (iso 14443 3a) properties and i/o operations on a tag.
StatementEventListener_statementErrorOccurred,statement event listener,an object that registers to be notified of events that occur on preparedstatements that are in the statement pool.
KeyChain_choosePrivateKeyAlias,key chain,the keychain class provides access to private keys and their corresponding certificate chains in credential storage.
BitmapFactory_decodeStream,bitmap factory,"creates bitmap objects from various sources, including files, streams, and byte arrays."
Member_isSynthetic,member,member is an interface that reflects identifying information about a single member (a field or a method) or a constructor.
Process_getErrorStream,process,"the processbuilder#start() and runtime.exec methods create a native process and return an instance of a subclass of process that can be used to control the process and obtain information about it.  the class process provides methods for performing input from the process, performing output to the process, waiting for the process to complete, checking the exit status of the process, and destroying (killing) the process."
AtomicLongArray_set,atomic long array,a long array in which elements may be updated atomically. see the varhandle specification for descriptions of the properties of atomic accesses.
DSAPublicKey_getY,dsa public key,the interface to a dsa public key. dsa (digital signature algorithm) is defined in nist's fips 186.
FilterInputStream_reset,filter input stream,"a filterinputstream contains some other input stream, which it uses as its  basic source of data, possibly transforming the data along the way or providing  additional functionality. the class filterinputstream itself simply overrides all  methods of inputstream with versions that pass all requests to the contained  input stream. subclasses of filterinputstream may further override some of  these methods and may also provide additional methods and fields."
BackupDataInput_getKey,backup data input,"provides the structured interface through which a backupagent reads information from the backup data set, via its onrestore() method.  the data is presented as a set of ""entities,"" each representing one named record as previously stored by the agent's onbackup() implementation.  an entity is composed of a descriptive header plus a byte array that holds the raw data saved in the remote backup."
Condition_awaitUninterruptibly,condition,"condition factors out the object monitor methods (wait, notify and notifyall) into distinct objects to give the effect of having multiple wait sets per object, by combining them with the use of arbitrary lock implementations. where a lock replaces the use of synchronized methods and statements, a condition replaces the use of the object monitor methods."
RemoteController_getEstimatedMediaPosition,remote controller,
MemoryFile_readBytes,memory file,"memoryfile is a wrapper for sharedmemory which can optionally be set to purgeable. applications should generally prefer to use sharedmemory which offers more flexible access & control over the shared memory region than memoryfile does. purgeable files may have their contents reclaimed by the kernel in low memory conditions (only if allowpurging is set to true). after a file is purged, attempts to read or write the file will cause an ioexception to be thrown."
CellLocation_getEmpty,cell location,
Base64_decode,base64,utilities for encoding and decoding the base64 representation of binary data.  see rfcs 2045 and 3548.
AnimatorListenerAdapter_onAnimationEnd,animator listener adapter,this adapter class provides empty implementations of the methods from animator.animatorlistener. any custom listener that cares only about a subset of the methods of this listener can simply subclass this adapter class instead of implementing the interface directly.
StringCharacterIterator_getEndIndex,string character iterator,stringcharacteriterator implements the characteriterator protocol for a string. the stringcharacteriterator class iterates over the entire string.
ZipInputStream_closeEntry,zip input stream,this class implements an input stream filter for reading files in the zip file format. includes support for both compressed and uncompressed entries.
ScriptIntrinsicYuvToRGB_getKernelID,script intrinsic yuv to r g b,
CharArrayReader_read,char array reader,this class implements a character buffer that can be used as a character input stream.
